Species,Compartment,ASV ID,Phylum,Class,Order,Family,Genus,Mean_importance
A. thaliana,Endo,ASV_74,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,19.09
A. thaliana,Endo,ASV_114,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,11.33
A. thaliana,Endo,ASV_143,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,14.56
A. thaliana,Endo,ASV_178,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,20.86
A. thaliana,Endo,ASV_192,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rubrivivax,13.01
A. thaliana,Endo,ASV_198,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Holophaga,11.31
A. thaliana,Endo,ASV_483,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,10.03
A. thaliana,Endo,ASV_512,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Leptospira,15.83
A. thaliana,Endo,ASV_553,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,uncultured,12.51
A. thaliana,Endo,ASV_608,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,13.89
A. thaliana,Endo,ASV_1387,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,14.41
A. thaliana,Rhizo,ASV_5,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,15.40
A. thaliana,Rhizo,ASV_29,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,21.21
A. thaliana,Rhizo,ASV_191,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,19.72
A. thaliana,Rhizo,ASV_192,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rubrivivax,20.85
A. thaliana,Rhizo,ASV_407,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,19.08
A. thaliana,Rhizo,ASV_473,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,25.95
A. thaliana,Rhizo,ASV_909,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,26.75
B. oleracea,Endo,ASV_10,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,12.04
B. oleracea,Endo,ASV_67,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,18.62
B. oleracea,Endo,ASV_83,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,15.69
B. oleracea,Endo,ASV_100,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,12.40
B. oleracea,Endo,ASV_106,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Candidatus_Protochlamydia,12.97
B. oleracea,Endo,ASV_123,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,14.06
B. oleracea,Endo,ASV_240,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix,21.18
B. oleracea,Endo,ASV_291,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix,10.41
B. oleracea,Endo,ASV_293,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,NA,12.84
B. oleracea,Endo,ASV_318,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,16.65
B. oleracea,Endo,ASV_413,Chloroflexi,Ktedonobacteria,C0119,C0119,C0119,11.52
B. oleracea,Endo,ASV_782,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,14.75
B. oleracea,Endo,ASV_799,Planctomycetota,Planctomycetes,Planctomycetales,uncultured,uncultured,12.98
B. oleracea,Endo,ASV_959,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,11.17
B. oleracea,Endo,ASV_962,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Uliginosibacterium,10.34
B. oleracea,Endo,ASV_1091,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,16.55
B. oleracea,Endo,ASV_1385,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,NA,12.49
B. oleracea,Rhizo,ASV_12,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,16.50
B. oleracea,Rhizo,ASV_61,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,18.57
B. oleracea,Rhizo,ASV_97,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,19.33
B. oleracea,Rhizo,ASV_101,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,16.44
B. oleracea,Rhizo,ASV_410,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,19.11
B. oleracea,Rhizo,ASV_496,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,16.53
